City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,khandyga,62.6667,135.6,12.39,36,81,1.57,RU,1684981943
264,sandpoint,48.2766,-116.5533,17.08,57,40,2.57,US,1684981943
265,duba,27.3513,35.6901,26.29,61,3,2.36,SA,1684981943
266,pandan,14.0453,124.1694,30.84,66,65,2.22,PH,1684981944
267,port alfred,-33.5906,26.891,19.29,44,92,3.03,ZA,1684981944
268,san antonio de pale,-1.4014,5.6325,26.35,88,98,6.16,GQ,1684981944
269,taoudenni,22.6783,-3.9836,27.75,30,97,3.43,ML,1684981761
270,ciudad lazaro cardenas,17.9583,-102.2,27.62,74,100,3.0,MX,1684981751
271,vorgashor,67.5833,63.95,11.65,69,100,5.63,RU,1684981745
272,yelizovo,53.1873,158.3805,14.08,41,40,8.0,RU,1684981944
273,islamkot,24.6997,70.177,31.24,59,4,11.85,PK,1684981945
274,dul'durga,50.6761,113.5931,9.9,33,100,7.49,RU,1684981945
275,inhambupe,-11.7844,-38.3531,20.96,98,23,2.39,BR,1684981945
276,abrisham,32.558,51.5731,17.57,26,58,0.64,IR,1684981945
277,vilyuysk,63.7553,121.6247,10.56,29,61,3.64,RU,1684981945
278,rabo de peixe,37.8,-25.5833,15.73,82,20,5.14,PT,1684981945
279,murzuq,25.9155,13.9184,26.79,10,100,3.12,LY,1684981927
280,yanchep,-31.55,115.6833,16.18,46,0,5.0,AU,1684981946
281,mineral wells,32.8085,-98.1128,25.11,65,100,2.06,US,1684981946
282,mulayjah,27.271,48.4242,32.98,23,97,6.65,SA,1684981946
283,chapaev,50.2,51.1667,20.37,39,95,5.7,KZ,1684981946
284,kotabumi,-4.8333,104.9,29.87,66,4,1.95,ID,1684981946
285,laojunmiao,39.8333,97.7333,14.12,18,90,2.43,CN,1684981947
286,qui nhon,13.7667,109.2333,31.57,61,87,1.85,VN,1684981947
287,nuuk,64.1835,-51.7216,1.6,74,52,8.94,GL,1684981820
288,puerto ayacucho,5.6639,-67.6236,24.18,91,100,1.63,VE,1684981947
289,al mutayrifi,25.4788,49.5576,29.19,19,59,1.07,SA,1684981948
290,sao miguel do araguaia,-13.275,-50.1628,25.33,48,96,0.9,BR,1684981948
291,kochenevo,55.0218,82.202,10.66,37,80,3.47,RU,1684981948
292,aso,32.9551,131.0967,19.98,39,80,1.34,JP,1684981949
293,balabac,7.9868,117.0645,29.27,69,100,4.78,PH,1684981949
294,kalemie,-5.9475,29.1947,21.58,85,15,0.71,CD,1684981949
295,san patricio,28.017,-97.5169,26.61,77,53,3.07,US,1684981949
296,naifaru,5.4444,73.3657,28.92,73,82,3.66,MV,1684981949
297,bunyan,38.8463,35.8603,6.12,70,45,1.58,TR,1684981949
298,shaydon,40.6747,70.346,19.64,27,0,1.35,TJ,1684981950
299,kargasok,59.0556,80.8572,11.2,40,51,3.74,RU,1684981950
300,mahajanga,-15.7167,46.3167,19.01,100,20,2.57,MG,1684981950
301,ilebo,-4.3167,20.5833,21.43,92,35,0.57,CD,1684981950
302,kingston,17.997,-76.7936,28.53,80,20,1.54,JM,1684981720
303,ulsteinvik,62.3432,5.8487,8.51,81,72,8.94,NO,1684981951
304,redlands,34.0556,-117.1825,21.91,68,0,5.14,US,1684981951
305,chicoana,-25.1009,-65.5331,17.81,87,0,1.08,AR,1684981951
306,lagawe,16.8,121.1192,29.79,69,88,2.0,PH,1684981952
307,shahrak,34.1074,64.3052,12.8,42,0,3.9,AF,1684981952
